node_id	BEL	aminoacid_Code_1	aminoacid_Code_2	function	list	modification	namespace	node_id	p_modType	position	undefined_namespace	valid_NSV	value
38	"g(HGNC:""NPHP1"")"			g			HGNC	38				True	NPHP1
39	"g(dbSNP:""rs10173717"")"			g			dbSNP	39				True	rs10173717
40	"g(HGNC:""CADPS2"")"			g			HGNC	40				True	CADPS2
41	"g(dbSNP:""rs3757536"")"			g			dbSNP	41				True	rs3757536
42	"g(HGNC:""GREM2"")"			g			HGNC	42				True	GREM2
43	"g(dbSNP:""rs12129547"")"			g			dbSNP	43				True	rs12129547
44	"g(dbSNP:""rs11542041"")"			g			dbSNP	44				True	rs11542041
45	"complex(p(HGNC:""APP""),a(CHEBI:""iron(2+)""))"			complex	True			45					
46	"a(CHEBI:""iron(2+)"")"			a			CHEBI	46				True	iron(2+)
47	"a(CHEBI:""hydrogen peroxide"")"			a			CHEBI	47				True	hydrogen peroxide
48	"complex(p(HGNC:""APP""),a(CHEBI:""copper(1+)""))"			complex	True			48					
49	"a(CHEBI:""copper(1+)"")"			a			CHEBI	49				True	copper(1+)
50	"bp(GOBP:""response to oxidative stress"")"			bp			GOBP	50				True	response to oxidative stress
51	"bp(GOBP:""mitochondrial calcium ion transport"")"			bp			GOBP	51				True	mitochondrial calcium ion transport
52	"bp(GOBP:""mitochondrial calcium ion homeostasis"")"			bp			GOBP	52				True	mitochondrial calcium ion homeostasis
53	"bp(GOBP:""electron transport chain"")"			bp			GOBP	53				True	electron transport chain
54	"a(CHEBI:""superoxide"")"			a			CHEBI	54				True	superoxide
55	"a(CHEBI:""ATP"")"			a			CHEBI	55				True	ATP
56	"bp(GOBP:""calcium ion homeostasis"")"			bp			GOBP	56				True	calcium ion homeostasis
57	"complex(a(CHEBI:""hydrogen peroxide""),a(CHEBI:""iron(2+)""))"			complex	True			57					
58	"a(CHEBI:""hydroxy group"")"			a			CHEBI	58				True	hydroxy group
59	"a(SCHEM:""isoprostane"")"			a			SCHEM	59				True	isoprostane
60	"p(HGNC:""BACE2"")"			p			HGNC	60				True	BACE2
61	"p(HGNC:""CASP4"")"			p			HGNC	61				True	CASP4
62	"bp(GOBP:""microglial cell activation involved in immune response"")"			bp			GOBP	62				True	microglial cell activation involved in immune response
63	"a(BRCO:""Microglia"")"			a			BRCO	63					Microglia
64	"bp(PTS:""inflammatory response pathway"")"			bp			PTS	64				True	inflammatory response pathway
65	"path(MESHD:""Neurogenic Inflammation"")"			path			MESHD	65				True	Neurogenic Inflammation
66	"bp(GOBP:""reactive oxygen species metabolic process"")"			bp			GOBP	66				True	reactive oxygen species metabolic process
67	"a(CHEBI:""nitric oxide"")"			a			CHEBI	67				True	nitric oxide
68	"bp(GOBP:""neuron apoptotic process"")"			bp			GOBP	68				True	neuron apoptotic process
69	"p(HGNC:""TNF"")"			p			HGNC	69				True	TNF
70	"p(HGNC:""IL1B"")"			p			HGNC	70				True	IL1B
71	"p(HGNC:""MAPT"")"			p			HGNC	71				True	MAPT
72	"complex(SCOMP:""Calcineurin Complex"")"			complex			SCOMP	72					"""Calcineurin Complex"""
73	"p(HGNC:""BAD"")"			p			HGNC	73				True	BAD
74	"p(HGNC:""BAD"",pmod(P))"			p		pmod	HGNC	74	P			True	BAD
75	"bp(GOBP:""cell death"")"			bp			GOBP	75				True	cell death
76	"p(SFAM:""CREB Family"")"			p			SFAM	76				True	CREB Family
77	"p(SFAM:""CREB Family"",pmod(P))"			p		pmod	SFAM	77	P			True	CREB Family
78	reaction(reactants(p(HGNC:CDK5R1)),products(p(HGNC:CDK5)))			reaction				78					
79	"p(HGNC:""CDK5R1"")"			p			HGNC	79				True	CDK5R1
80	"p(HGNC:""CDK5"")"			p			HGNC	80				True	CDK5
81	"p(SFAM:""CAPN Family"")"			p			SFAM	81				True	CAPN Family
82	"p(HGNC:""MAPT"",pmod(P))"			p		pmod	HGNC	82	P			True	MAPT
83	"bp(GOBP:""neuron apoptosis"")"			bp			GOBP	83					neuron apoptosis
84	"p(SFAM:""GSK3 Family"")"			p			SFAM	84				True	GSK3 Family
85	"p(HGNC:""GSK3B"")"			p			HGNC	85				True	GSK3B
86	complex(p(HGNC:APP),p(HGNC:LMTK2))			complex	True			86					
87	"p(HGNC:""LMTK2"")"			p			HGNC	87				True	LMTK2
88	"p(HGNC:""A2M"")"			p			HGNC	88				True	A2M
89	"p(HGNC:""A2M"",sub(V,1000,I))"	V	I	p		sub	HGNC	89		1000		True	A2M
90	"g(dbSNP:""rs669"")"			g			dbSNP	90				True	rs669
91	"p(HGNC:""OLR1"")"			p			HGNC	91				True	OLR1
92	"p(HGNC:""LRP8"")"			p			HGNC	92				True	LRP8
93	"p(HGNC:""FAS"")"			p			HGNC	93				True	FAS
94	"bp(GOBP:""apoptotic process"")"			bp			GOBP	94				True	apoptotic process
95	"p(HGNC:""CASP8"")"			p			HGNC	95				True	CASP8
96	"p(HGNC:""FADD"")"			p			HGNC	96				True	FADD
97	"composite(p(HGNC:CASP8),p(HGNC:FADD),a(ADO:""Abeta_42""))"			composite	True			97					
98	"p(HGNC:""CASP2"")"			p			HGNC	98				True	CASP2
99	"a(PMICHEM:""Z-Tyr-Val-Ala-Asp(OMe)-Fluoromethylketone"")"			a			PMICHEM	99					Z-Tyr-Val-Ala-Asp(OMe)-Fluoromethylketone
100	"p(HGNC:""MTRNR2L2"")"			p			HGNC	100				True	MTRNR2L2
101	"p(HGNC:""JAK2"")"			p			HGNC	101				True	JAK2
102	"bp(GOBP:""memory"")"			bp			GOBP	102				True	memory
103	"bp(GOBP:""regulation of synaptic transmission, cholinergic"")"			bp			GOBP	103				True	regulation of synaptic transmission, cholinergic
104	"bp(GOBP:""inflammatory response"")"			bp			GOBP	104				True	inflammatory response
105	"p(HGNC:""NOS2"")"			p			HGNC	105				True	NOS2
106	"a(CHEBI:""nitrogen dioxide"")"			a			CHEBI	106				True	nitrogen dioxide
107	"p(HGNC:""APP"",sub(N,10,Y))"	N	Y	p		sub	HGNC	107		10		True	APP
108	"a(CHEBI:""peroxynitrite"")"			a			CHEBI	108				True	peroxynitrite
109	"bp(GOBP:""neuronal signal transduction"")"			bp			GOBP	109				True	neuronal signal transduction
110	"p(HGNC:""SNCA"")"			p			HGNC	110				True	SNCA
111	"bp(GOBP:""response to endoplasmic reticulum stress"")"			bp			GOBP	111				True	response to endoplasmic reticulum stress
112	"r(HGNC:""HSPA5"")"			r			HGNC	112				True	HSPA5
113	"r(HGNC:""HSP90B1"")"			r			HGNC	113				True	HSP90B1
114	"bp(MESHPP:""Unfolded protein response"")"			bp			MESHPP	114					Unfolded Protein Response
115	"bp(GOBP:""endoplasmic reticulum calcium ion homeostasis"")"			bp			GOBP	115				True	endoplasmic reticulum calcium ion homeostasis
116	"p(HGNC:""RYR3"")"			p			HGNC	116				True	RYR3
117	"bp(GOBP:""regulation of ryanodine-sensitive calcium-release channel activity"")"			bp			GOBP	117				True	regulation of ryanodine-sensitive calcium-release channel activity
118	"p(HGNC:""ITPR3"")"			p			HGNC	118				True	ITPR3
119	"bp(GOBP:""inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"")"			bp			GOBP	119					inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
120	"bp(GOBP:""regulation of N-methyl-D-aspartate selective glutamate receptor activity"")"			bp			GOBP	120				True	regulation of N-methyl-D-aspartate selective glutamate receptor activity
121	"bp(PTS:""regulation of kainate selective glutamate receptor activity"")"			bp			PTS	121					regulation of kainate selective glutamate receptor activity
122	"complex(p(HGNC:CKB), a(CHEBI:""4-hydroxynon-2-enal""))"			complex	True			122					
123	"p(HGNC:""CKB"")"			p			HGNC	123				True	CKB
124	"a(CHEBI:""4-hydroxynon-2-enal"")"			a			CHEBI	124				True	4-hydroxynon-2-enal
125	"bp(MESHPP:""Lipid peroxidation pathway"")"			bp			MESHPP	125					Lipid peroxidation pathway
126	"complex(p(HGNC:ACTB), a(CHEBI:""4-hydroxynon-2-enal""))"			complex	True			126					
127	"p(HGNC:""ACTB"")"			p			HGNC	127				True	ACTB
128	"complex(p(HGNC:SLC1A1), a(CHEBI:""4-hydroxynon-2-enal""))"			complex	True			128					
129	"p(HGNC:""SLC1A1"")"			p			HGNC	129				True	SLC1A1
130	"p(HGNC:""HMGCR"")"			p			HGNC	130				True	HMGCR
131	"bp(GOBP:""regulation of cholesterol biosynthetic process"")"			bp			GOBP	131				True	regulation of cholesterol biosynthetic process
132	"bp(GOBP:""cholesterol homeostasis"")"			bp			GOBP	132				True	cholesterol homeostasis
133	"bp(GOBP:""hydroxymethylglutaryl-CoA reductase kinase activity"")"			bp			GOBP	133					hydroxymethylglutaryl-CoA reductase kinase activity
134	"a(CHEBI:""cholesterol"")"			a			CHEBI	134				True	cholesterol
135	"a(SCHEM:""Probucol"")"			a			SCHEM	135				True	Probucol
136	"p(HGNC:""CTSD"")"			p			HGNC	136				True	CTSD
137	"p(HGNC:""CTSD"",sub(A,224,V))"	A	V	p		sub	HGNC	137		224		True	CTSD
138	"p(HGNC:""GSS"")"			p			HGNC	138				True	GSS
139	"a(CHEBI:""glutathione"")"			a			CHEBI	139				True	glutathione
140	"bp(GOBP:""induction of apoptosis by oxidative stress"")"			bp			GOBP	140					induction of apoptosis by oxidative stress
141	"p(HGNC:""CHIT1"")"			p			HGNC	141				True	CHIT1
142	"bp(GOBP:""cognition"")"			bp			GOBP	142				True	cognition
143	"p(HGNC:""SQSTM1"")"			p			HGNC	143				True	SQSTM1
144	"g(HGNC:""TNF"")"			g			HGNC	144				True	TNF
145	"g(HGNC:""TNF"",sub(G,308,A))"	G	A	g		sub	HGNC	145		308		True	TNF
146	"p(HGNC:""ALOX12"")"			p			HGNC	146				True	ALOX12
147	"p(HGNC:""ALOX15"")"			p			HGNC	147				True	ALOX15
148	"p(HGNC:""ACHE"")"			p			HGNC	148				True	ACHE
149	"p(SFAM:""JAK Family"")"			p			SFAM	149				True	JAK Family
150	"p(HGNC:""MAPK11"")"			p			HGNC	150				True	MAPK11
151	"p(HGNC:""MAPK8"")"			p			HGNC	151				True	MAPK8
152	"p(HGNC:""MAPK14"")"			p			HGNC	152				True	MAPK14
153	"p(SFAM:""MAPK Erk1/2 Family"")"			p			SFAM	153				True	MAPK Erk1/2 Family
154	"complex(p(HGNC:ACHE),a(ADO:""Abeta_42""))"			complex	True			154					
155	"bp(GOBP:""neuron death"")"			bp			GOBP	155				True	neuron death
156	"p(HGNC:""CLU"")"			p			HGNC	156				True	CLU
157	"p(HGNC:""MSR1"")"			p			HGNC	157				True	MSR1
158	"bp(GOBP:""positive regulation of glial cell apoptosis"")"			bp			GOBP	158					positive regulation of glial cell apoptosis
159	"p(HGNC:""SCARF1"")"			p			HGNC	159				True	SCARF1
160	"p(HGNC:""SCARB1"")"			p			HGNC	160				True	SCARB1
161	"p(HGNC:""SCARA5"")"			p			HGNC	161				True	SCARA5
162	"p(HGNC:""MTOR"")"			p			HGNC	162				True	MTOR
163	"bp(GOBP:""positive regulation of synaptic transmission, glutamatergic"")"			bp			GOBP	163				True	positive regulation of synaptic transmission, glutamatergic
164	"a(CHEBI:""24-hydroxycholesterol"")"			a			CHEBI	164				True	24-hydroxycholesterol
165	"p(HGNC:""CYP46A1"")"			p			HGNC	165				True	CYP46A1
166	"p(HGNC:""STIM2"")"			p			HGNC	166				True	STIM2
167	"g(dbSNP:""rs8003602"")"			g			dbSNP	167				True	rs8003602
168	"g(HGNC:""CYP46A1"")"			g			HGNC	168				True	CYP46A1
169	"g(dbSNP:""rs3783320"")"			g			dbSNP	169				True	rs3783320
170	"p(HGNC:""MYT1"")"			p			HGNC	170				True	MYT1
171	"p(HGNC:""CXCL10"")"			p			HGNC	171				True	CXCL10
172	"p(SFAM:""Chemokine Receptor Family"")"			p			SFAM	172				True	Chemokine Receptor Family
173	"p(HGNC:""CCL2"")"			p			HGNC	173				True	CCL2
174	"p(HGNC:""CXCL8"")"			p			HGNC	174				True	CXCL8
175	"p(HGNC:""CXCL1"")"			p			HGNC	175				True	CXCL1
176	"g(dbSNP:""rs17571"")"			g			dbSNP	176				True	rs17571
177	"g(HGNC:""CTSD"")"			g			HGNC	177				True	CTSD
178	"g(HGNC:""CTSD"",sub(C,224,T))"	C	T	g		sub	HGNC	178		224		True	CTSD
179	"p(HGNC:""CCL5"")"			p			HGNC	179				True	CCL5
180	"p(HGNC:""CSF1"")"			p			HGNC	180				True	CSF1
181	"p(HGNC:""ICAM1"")"			p			HGNC	181				True	ICAM1
182	"p(HGNC:""IL8"")"			p			HGNC	182					IL8
183	"bp(GOBP:""response to stress"")"			bp			GOBP	183				True	response to stress
184	"p(HGNC:""CRH"")"			p			HGNC	184				True	CRH
185	"bp(GOBP:""regulation of energy homeostasis"")"			bp			GOBP	185				True	regulation of energy homeostasis
186	"complex(SCOMP:""AMP Activated Protein Kinase Complex"")"			complex			SCOMP	186					"""AMP Activated Protein Kinase Complex"""
187	complex(p(HGNC:HSPB8),p(HGNC:BAG3))			complex	True			187					
188	"p(HGNC:""HSPB8"")"			p			HGNC	188				True	HSPB8
189	"p(HGNC:""BAG3"")"			p			HGNC	189				True	BAG3
190	"bp(GOBP:""autophagy"")"			bp			GOBP	190				True	autophagy
191	composite(p(HGNC:BCHE),p(HGNC:ACHE))			composite	True			191					
192	"p(HGNC:""BCHE"")"			p			HGNC	192				True	BCHE
193	"p(HGNC:""CFH"")"			p			HGNC	193				True	CFH
194	"p(HGNC:""ARMS2"")"			p			HGNC	194				True	ARMS2
195	"p(HGNC:""C2"")"			p			HGNC	195				True	C2
196	"p(HGNC:""CFB"")"			p			HGNC	196				True	CFB
197	"p(HGNC:""C3"")"			p			HGNC	197				True	C3
198	"a(PMICOMP:""Amyloid precursor protein intracellular domain"")"			a			PMICOMP	198					Amyloid precursor protein intracellular domain
199	"p(HGNC:""TAGLN"")"			p			HGNC	199				True	TAGLN
200	"bp(GOBP:""actin filament binding"")"			bp			GOBP	200					actin filament binding
201	"p(HGNC:""ACTA2"")"			p			HGNC	201				True	ACTA2
202	"bp(GOBP:""regulation of mitochondrial membrane potential"")"			bp			GOBP	202				True	regulation of mitochondrial membrane potential
203	"composite(a(PMICOMP:""Amyloid precursor protein intracellular domain""),p(HGNC:APBB1))"			composite	True			203					
204	"p(HGNC:""APBB1"")"			p			HGNC	204				True	APBB1
205	"p(HGNC:""PICALM"")"			p			HGNC	205				True	PICALM
206	"bp(GOBP:""clathrin-mediated endocytosis"")"			bp			GOBP	206				True	clathrin-mediated endocytosis
207	"bp(GOBP:""response to reactive oxygen species"")"			bp			GOBP	207				True	response to reactive oxygen species
208	"bp(GOBP:""mitochondria-nucleus signaling pathway"")"			bp			GOBP	208				True	mitochondria-nucleus signaling pathway
209	"bp(GOBP:""mitochondrion organization"")"			bp			GOBP	209				True	mitochondrion organization
210	"bp(GOBP:""mitochondrial transport"")"			bp			GOBP	210				True	mitochondrial transport
211	complex(p(HGNC:TOMM40),p(HGNC:TIMM23),p(HGNC:APP))			complex	True			211					
212	"p(HGNC:""TOMM40"")"			p			HGNC	212				True	TOMM40
213	"p(HGNC:""TIMM23"")"			p			HGNC	213				True	TIMM23
214	"bp(GOBP:""protein import into mitochondrial matrix"")"			bp			GOBP	214				True	protein import into mitochondrial matrix
215	"bp(GOBP:""mitochondrial translocation"")"			bp			GOBP	215					mitochondrial translocation
216	"p(HGNC:""COX5B"")"			p			HGNC	216				True	COX5B
217	"a(CHEBI:""reactive oxygen species"")"			a			CHEBI	217				True	reactive oxygen species
218	"bp(GOBP:""lipid oxidation"")"			bp			GOBP	218				True	lipid oxidation
219	"bp(GOBP:""catalysis of free radical formation"")"			bp			GOBP	219					catalysis of free radical formation
220	"complex(a(ADO:""Abeta_42""),p(HGNC:HSD17B10))"			complex	True			220					
221	"p(HGNC:""HSD17B10"")"			p			HGNC	221				True	HSD17B10
222	"bp(GOBP:""positive regulation of mitochondrial translation in response to stress"")"			bp			GOBP	222				True	positive regulation of mitochondrial translation in response to stress
223	"complex(a(ADO:""Abeta_42""),p(HGNC:PPID))"			complex	True			223					
224	"p(HGNC:""PPID"")"			p			HGNC	224				True	PPID
225	"p(HGNC:""APP"",sub(H,7,D))"	H	D	p		sub	HGNC	225		7		True	APP
226	"complex(a(CHEBI:""zinc(2+)""),a(CHEBI:""copper(2+)""),a(ADO:""Abeta_40""))"			complex	True			226					
227	"a(CHEBI:""zinc(2+)"")"			a			CHEBI	227				True	zinc(2+)
228	"a(CHEBI:""copper(2+)"")"			a			CHEBI	228				True	copper(2+)
229	"p(HGNC:""APP"",sub(N,687,K))"	N	K	p		sub	HGNC	229		687		True	APP
230	composite(p(HGNC:APP),p(HGNC:PSEN1),p(HGNC:PSEN2))			composite	True			230					
231	"bp(GOBP:""cell cycle"")"			bp			GOBP	231				True	cell cycle
232	"bp(GOBP:""cell communication"")"			bp			GOBP	232				True	cell communication
233	complex(p(HGNC:APP,pmod(P,Y)) ,p(HGNC:SHC2),p(HGNC:GRB2))			complex	True			233					
234	"p(HGNC:""APP"",pmod(P,Y)))"	Y		p		pmod	HGNC	234	P			True	APP
235	"p(HGNC:""GRB2"")"			p			HGNC	235				True	GRB2
236	"p(HGNC:""SOS1"")"			p			HGNC	236				True	SOS1
237	"p(HGNC:""SOS2"")"			p			HGNC	237				True	SOS2
238	"p(SFAM:""RAS Family"")"			p			SFAM	238				True	RAS Family
239	"p(SFAM:""RAF Family"")"			p			SFAM	239				True	RAF Family
240	"p(SFAM:""MEK1/2 Family"")"			p			SFAM	240				True	MEK1/2 Family
241	complex(p(HGNC:APP),p(HGNC:PSEN1),p(HGNC:PSEN2),p(HGNC:GRB2))			complex	True			241					
242	"bp(GOBP:""response to DNA damage stimulus"")"			bp			GOBP	242					response to DNA damage stimulus
243	complex(p(HGNC:APBB1),p(HGNC:APP))			complex	True			243					
244	"p(HGNC:""APP"",pmod(P,Y))"	Y		p		pmod	HGNC	244	P			True	APP
245	complex(p(HGNC:APP),p(HGNC:GRB2))			complex	True			245					
246	composite(p(HGNC:APLP1),p(HGNC:APLP2),p(HGNC:APP))			composite	True			246					
247	"p(HGNC:""APLP1"")"			p			HGNC	247				True	APLP1
248	"p(HGNC:""APLP2"")"			p			HGNC	248				True	APLP2
249	"p(HGNC:""APBA1"")"			p			HGNC	249				True	APBA1
250	"p(HGNC:""APBA2"")"			p			HGNC	250				True	APBA2
251	"p(HGNC:""APBA3"")"			p			HGNC	251				True	APBA3
252	"p(HGNC:""DAB2"")"			p			HGNC	252				True	DAB2
253	"p(HGNC:""ABL1"")"			p			HGNC	253				True	ABL1
254	"p(HGNC:""MAPK8IP1"")"			p			HGNC	254				True	MAPK8IP1
255	"p(HGNC:""NUMB"")"			p			HGNC	255				True	NUMB
256	complex(p(HGNC:APP),p(HGNC:DAB2))			complex	True			256					
257	"p(HGNC:""RELN"")"			p			HGNC	257				True	RELN
258	complex(p(HGNC:APP),p(HGNC:SHC1))			complex	True			258					
259	"p(HGNC:""SHC1"")"			p			HGNC	259				True	SHC1
260	"bp(GOBP:""cell proliferation"")"			bp			GOBP	260				True	cell proliferation
261	complex(p(HGNC:APP),p(HGNC:SHC1),p(HGNC:GRB2))			complex	True			261					
262	composite(p(HGNC:PSEN1),p(HGNC:PSEN2))			composite	True			262					
263	"p(SFAM:""NOTCH Family"")"			p			SFAM	263				True	NOTCH Family
264	"p(HGNC:""ERBB4"")"			p			HGNC	264				True	ERBB4
265	"p(HGNC:""FUNDC2"")"			p			HGNC	265				True	FUNDC2
266	"p(HGNC:""LRP1"")"			p			HGNC	266				True	LRP1
267	"p(HGNC:""CDH2"")"			p			HGNC	267				True	CDH2
268	"p(SFAM:""WNT Family"")"			p			SFAM	268				True	WNT Family
269	"bp(GOBP:""embryo development"")"			bp			GOBP	269				True	embryo development
270	"p(HGNC:""CTNNBIP1"")"			p			HGNC	270				True	CTNNBIP1
271	"complex(p(HGNC:CTNNBIP1),p(SFAM:""TCF/LEF Family""))"			complex	True			271					
272	"p(SFAM:""TCF/LEF Family"")"			p			SFAM	272				True	TCF/LEF Family
273	composite(p(HGNC:CSNK1G3),p(HGNC:CSNK1G1))			composite	True			273					
274	"p(HGNC:""CSNK1G3"")"			p			HGNC	274				True	CSNK1G3
275	"p(HGNC:""CSNK1G1"")"			p			HGNC	275				True	CSNK1G1
276	"p(HGNC:""CTNNBIP1"",pmod(P))"			p		pmod	HGNC	276	P			True	CTNNBIP1
277	"p(HGNC:""BTRC"")"			p			HGNC	277				True	BTRC
278	complex(p(HGNC:PSEN1),p(HGNC:PSEN1),p(HGNC:PSEN2))			complex	True			278					
279	"bp(GOBP:""Notch pathway"")"			bp			GOBP	279					Notch pathway
280	"bp(GOBP:""regulation of cell fate commitment"")"			bp			GOBP	280				True	regulation of cell fate commitment
281	"bp(GOBP:""cell differentiation"")"			bp			GOBP	281				True	cell differentiation
282	"p(HGNC:""RBPJL"")"			p			HGNC	282				True	RBPJL
283	"p(HGNC:""BCL2"")"			p			HGNC	283				True	BCL2
284	"bp(GOBP:""calcium-dependent cell-matrix adhesion"")"			bp			GOBP	284				True	calcium-dependent cell-matrix adhesion
285	"bp(GOBP:""cell-cell adhesion mediated by cadherin"")"			bp			GOBP	285				True	cell-cell adhesion mediated by cadherin
286	"bp(GOBP:""regulation of cell-cell adhesion"")"			bp			GOBP	286				True	regulation of cell-cell adhesion
287	"p(HGNC:""CD44"")"			p			HGNC	287				True	CD44
288	"bp(GOBP:""immune response to tumor cell"")"			bp			GOBP	288				True	immune response to tumor cell
289	"p(HGNC:""LRP2"")"			p			HGNC	289				True	LRP2
290	"p(HGNC:""LRP3"")"			p			HGNC	290				True	LRP3
291	"p(HGNC:""LRP4"")"			p			HGNC	291				True	LRP4
292	"p(HGNC:""LRP6"")"			p			HGNC	292				True	LRP6
293	"p(HGNC:""LRP10"")"			p			HGNC	293				True	LRP10
294	"p(HGNC:""LRP11"")"			p			HGNC	294				True	LRP11
295	"p(PMICOMP:""mTOR-FKBP12-rapamycin complex"")"			p			PMICOMP	295					mTOR-FKBP12-rapamycin complex
296	list(p(HGNC:LRP1),p(HGNC:LRP2),p(HGNC:LRP3),p(HGNC:LRP4),p(HGNC:LRP5),p(HGNC:LRP6),p(HGNC:LRP8),p(HGNC:LRP10),p(HGNC:LRP11))			list	True			296					
297	"p(HGNC:""LRP5"")"			p			HGNC	297				True	LRP5
298	composite(p(HGNC:LRP1),p(HGNC:LRP2),p(HGNC:LRP3),p(HGNC:LRP4),p(HGNC:LRP5),p(HGNC:LRP6),p(HGNC:LRP8),p(HGNC:LRP10),p(HGNC:LRP11))			composite	True			298					
299	"complex(p(HGNC:GRB2),p(SFAM:""MEK1/2 Family""))"			complex	True			299					
300	"bp(GOBP:""cytokine activity"")"			bp			GOBP	300					cytokine activity
301	"bp(GOBP:""chromosome segregation"")"			bp			GOBP	301				True	chromosome segregation
302	"path(MESHD:""Down Syndrome"")"			path			MESHD	302				True	Down Syndrome
303	"p(HGNC:""CDK4"")"			p			HGNC	303				True	CDK4
304	composite(p(HGNC:CDK1),p(HGNC:CDK4),p(HGNC:CDKN2A),p(HGNC:MKI67),p(HGNC:CCNB1),p(HGNC:CDK9),p(HGNC:TPPP))			composite	True			304					
305	"p(HGNC:""CDK1"")"			p			HGNC	305				True	CDK1
306	"p(HGNC:""CDKN2A"")"			p			HGNC	306				True	CDKN2A
307	"p(HGNC:""MKI67"")"			p			HGNC	307				True	MKI67
308	"p(HGNC:""CCNB1"")"			p			HGNC	308				True	CCNB1
309	"p(HGNC:""CDK9"")"			p			HGNC	309				True	CDK9
310	"p(HGNC:""TPPP"")"			p			HGNC	310				True	TPPP
311	"bp(GOBP:""regulation of cell cycle"")"			bp			GOBP	311				True	regulation of cell cycle
312	complex(p(HGNC:TPPP),p(HGNC:CDK5))			complex	True			312					
313	complex(p(HGNC:MAPT),a(GOCC:microtubule))			complex	True			313					
314	"a(GOCC:""microtubule"")"			a			GOCC	314				True	microtubule
315	"bp(GOBP:""cell cycle process"")"			bp			GOBP	315				True	cell cycle process
316	"p(SFAM:""CASP Family"")"			p			SFAM	316				True	CASP Family
317	"p(SFAM:""MAPK Erk1/2 Family"",pmod(P))"			p		pmod	SFAM	317	P			True	MAPK Erk1/2 Family
318	"bp(GOBP:""ERK1 and ERK2 cascade"")"			bp			GOBP	318				True	ERK1 and ERK2 cascade
319	"p(HGNC:""LDLR"")"			p			HGNC	319				True	LDLR
